City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
10,Vanimo,PG,85.87,-2.67,141.3,Vahmoneh Lodge Vanimo
12,Bals,RO,70,44.35,24.1,Avangarde Hotel Restaurant
14,Kirakira,SB,85.98,-10.45,161.92,SanBiz Lodge
17,Atuona,PF,78.62,-9.8,-139.03,Villa Enata
18,Kapaa,US,86,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
19,Bambous Virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
23,Mannarakkat,IN,77,10.98,76.47,The Park Residency
32,Virginia Beach,US,75.99,36.85,-75.98,Hilton Virginia Beach Oceanfront
33,Faanui,PF,77.74,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Hithadhoo,MV,82.2,-0.6,73.08,Scoop Guest House
37,Senador Jose Porfirio,BR,78.17,-2.59,-51.95,MORADA DO SOL pousada
39,Aioi,JP,89.6,34.8,134.47,Toyoko Inn Aioi-eki Shinkansen-guchi
42,Cabo San Lucas,MX,86,22.89,-109.91,Hotel Tesoro Los Cabos
44,Itoman,JP,84.2,26.12,127.67,Southern Beach Hotel & Resort Okinawa
45,Mount Isa,AU,82.4,-20.73,139.5,ibis Styles Mt Isa Verona
47,Shingu,JP,87.8,33.73,135.98,Shingu UI Hotel
49,Makakilo City,US,89.6,21.35,-158.09,Marriott's Ko Olina Beach Club
50,Byron Bay,AU,73.99,-28.65,153.62,Backpackers Inn on the Beach
51,Luganville,VU,78.8,-15.53,167.17,The Espiritu Hotel
54,Butaritari,KI,83.37,3.07,172.79,Isles Sunset Lodge
59,Oarai,JP,89.01,36.32,140.6,Oarai Hotel
65,Mahebourg,MU,71.6,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
67,Pernem,IN,78.8,15.72,73.8,OYO 48932 Coconut Inn
72,Madang,PG,89.08,-5.22,145.8,Comfort Inn Hotel
73,Hilo,US,84.2,19.73,-155.09,Hilo Hawaiian Hotel
78,Shaikhpura,IN,82.53,25.15,85.85,Hotel Ashoka
80,Panzhihua,CN,71.29,26.59,101.71,Electric Power Hotel
81,Nouadhibou,MR,71.6,20.93,-17.03,El Medina
82,Alofi,NU,80.6,-19.06,-169.92,Taloa Heights
85,Pangkalanbuun,ID,83.23,-2.68,111.62,Grand Kecubung Hotel
86,Coahuayana,MX,77.95,18.73,-103.68,Hotel Los Arcos
90,Bambanglipuro,ID,79.25,-7.95,110.28,Puri Brata
91,Brownsville,US,89.6,25.9,-97.5,Hotel Alameda Express
94,Puerto Escondido,MX,84.2,15.85,-97.07,Aldea del Bazar Hotel and Spa
95,Shenjiamen,CN,82.62,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
96,Pitimbu,BR,73.4,-7.47,-34.81,Reserva do Abiaí
98,Gilgit,PK,74.43,35.92,74.31,Tourist Hamlet Gilgit
106,Portland,US,75.99,45.52,-122.68,Portland Marriott City Center
110,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
114,Kahului,US,89.6,20.89,-156.47,Maui Seaside Hotel
115,Saint Anthony,US,72,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
118,Cortez,US,82.4,37.35,-108.59,Sand Canyon National 9 Inn
120,Praia Da Vitoria,PT,77,38.73,-27.07,Hotel Branco I
122,Itarema,BR,78.28,-2.92,-39.92,Windvillage
124,Varzea Grande,BR,86,-15.65,-56.13,Hotel Express
126,San Andres,CO,82.4,12.58,-81.7,Hotel Arena Blanca
130,Ponta Do Sol,PT,71.6,32.67,-17.1,Hotel do Campo
131,Naze,JP,87.8,28.37,129.48,奄美ポートタワーホテル
132,Katsuura,JP,88,35.13,140.3,Katsuura Hotel Mikazuki
133,Bilma,NE,86.88,18.69,12.92,Expeditions Ténére voyages
134,Karratha,AU,85.91,-20.74,116.85,ibis Styles Karratha
136,Sao Filipe,CV,77.56,14.9,-24.5,Tortuga B&B
140,Ribeira Grande,PT,74.66,38.52,-28.7,Quinta da Meia Eira
141,Erzin,TR,77,36.96,36.2,Artemis Otel
152,Sampit,ID,82.85,-2.53,112.95,Aquarius Boutique Hotel Sampit
153,Sur,OM,83.93,22.57,59.53,Sur Plaza Hotel
155,Vung Tau,VN,82.51,10.35,107.08,Seaside Resort
157,Lorengau,PG,82.96,-2.02,147.27,Lorengau Harbourside Hotel
158,Shimoda,JP,86,34.67,138.95,Shimoda Tokyu Hotel
160,Mahibadhoo,MV,83.37,3.78,72.97,Omadhoo Inn
162,Tabou,CI,75.15,4.42,-7.35,hotêl doufoulougou
166,Nhulunbuy,AU,82.4,-12.23,136.77,East Arnhem Real Estate
167,Guerrero Negro,MX,75.24,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
168,Prachuap Khiri Khan,TH,81.75,11.82,99.78,โรงแรมวราวรรณ รีสอร์ท Warawan resort&hotel
169,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
170,Tutoia,BR,80.44,-2.76,-42.27,Pousada Guará's
176,Callaway,US,81,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
178,Yudong,CN,78.8,29.39,106.52,Manyue Condo Hotel
179,Puerto Ayacucho,VE,72.59,5.66,-67.62,Posada Turistica Manapiare
181,Hami,CN,72.19,42.8,93.45,Laoyutang Resort
185,Kindu,CD,71.46,-2.95,25.95,Hotel Karibu
186,Boa Vista,BR,77,2.82,-60.67,Aipana Plaza Hotel
188,Radcliff,US,73.4,37.84,-85.95,Super 8 by Wyndham Radcliff Ft. Knox Area
190,Georgetown,MY,80.6,5.41,100.34,Cititel Penang
197,Sonari,IN,77,27.07,95.03,Sonari College Girls Hostel
199,Pyay,MM,79.54,18.82,95.22,Shwe Pyi Thar
200,Hasaki,JP,84,35.73,140.83,Inubosaki Kanko Hotel
202,Malanville,BJ,74.25,11.87,3.39,DEVO HOTEL
203,Meulaboh,ID,78.21,4.14,96.13,Kost Pria
206,York,US,73.4,40.13,-77,Rodeway Inn
208,Liuzhou,CN,84.63,24.31,109.39,Linjiang Inn
209,Niteroi,BR,78.8,-22.88,-43.1,OYO Viareggio Hotel - Niterói
213,Kalmunai,LK,80.01,7.42,81.82,VS Villa
215,Mutata,CO,75.58,7.24,-76.44,Hotel Gran Vía Mutatá
216,Vila Velha,BR,73.4,-20.33,-40.29,Hotel Vitória Palace
217,Bandarbeyla,SO,77.29,9.49,50.81,REER XOOSHLE GROUP
218,Cabedelo,BR,73.4,-6.98,-34.83,Lua Mansa Pousada
222,North Bend,US,72,43.41,-124.22,Red Lion Hotel Coos Bay
223,Aswan,EG,83.93,24.09,32.91,Nuba Nile
225,Cairns,AU,77,-16.92,145.77,Mantra Trilogy Cairns
227,Samarai,PG,78.78,-10.62,150.67,Nuli Sapi
229,Santa Isabel Do Rio Negro,BR,74.46,-0.41,-65.02,Hotel GSA
231,Harper,LR,75.43,4.38,-7.72,Screensaver
233,Bengkulu,ID,80.4,-3.8,102.27,Grage Hotel Bengkulu
238,Kihei,US,89.6,20.79,-156.47,Maui Sunset
240,Neiafu,TO,80.6,-18.65,-173.98,Mystic Sands
241,Kawardha,IN,76.57,22.02,81.25,STARiHOTELS Raipur Road kawardha
242,Airai,TL,71.74,-8.93,125.41,Juvinal Martin
