City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,-33.59,26.89,48.99,73,0,10.67
1,Pimentel,PE,-6.84,-79.93,61.16,87,65,14.36
2,Hobart,AU,-42.88,147.33,48.2,49,40,14.99
3,Barrow,US,71.29,-156.79,39.2,86,90,16.11
4,Asfi,MA,32.3,-9.24,69.31,72,0,14.54
5,Kidal,ML,18.44,1.41,84.07,59,28,4.68
6,Yellowknife,CA,62.46,-114.35,53.6,50,20,12.75
7,Prince George,CA,53.92,-122.75,54.0,76,75,8.05
8,Kaitangata,NZ,-46.28,169.85,61.05,48,100,15.1
9,La Baule-Escoublac,FR,47.29,-2.36,53.01,93,99,3.36
10,Vanimo,PG,-2.67,141.3,85.87,62,14,4.34
11,Cape Town,ZA,-33.93,18.42,48.99,81,40,9.17
12,Bals,RO,44.35,24.1,70.0,63,0,8.05
13,Aklavik,CA,68.22,-135.01,50.0,81,90,2.24
14,Kirakira,SB,-10.45,161.92,85.98,67,100,11.1
15,Ilulissat,GL,69.22,-51.1,41.0,65,0,5.95
16,Bredasdorp,ZA,-34.53,20.04,42.8,81,0,4.7
17,Atuona,PF,-9.8,-139.03,78.62,79,30,26.42
18,Kapaa,US,22.08,-159.32,86.0,55,1,17.22
19,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,18.34
20,Jamestown,US,42.1,-79.24,61.0,82,1,5.82
21,Punta Arenas,CL,-53.15,-70.92,32.0,90,12,13.87
22,Puerto Ayora,EC,-0.74,-90.35,64.65,83,96,9.86
23,Mannarakkat,IN,10.98,76.47,77.0,88,40,1.14
24,Bluff,NZ,-46.6,168.33,58.26,60,0,25.01
25,Komsomolskiy,UZ,40.43,71.72,68.0,60,0,4.7
26,Laguna,US,38.42,-121.42,91.99,31,1,11.41
27,Hermanus,ZA,-34.42,19.23,37.99,88,0,11.77
28,Chokurdakh,RU,70.63,147.92,45.86,68,87,8.72
29,Somerset,US,40.57,-74.55,66.0,77,1,3.36
30,Ushuaia,AR,-54.8,-68.3,28.4,92,40,23.04
31,Castro,BR,-24.79,-50.01,62.01,74,0,2.19
32,Virginia Beach,US,36.85,-75.98,75.99,64,40,6.51
33,Faanui,PF,-16.48,-151.75,77.74,75,7,19.46
34,Hithadhoo,MV,-0.6,73.08,82.2,73,100,10.36
35,Rikitea,PF,-23.12,-134.97,69.28,82,25,17.49
36,Wegorzewo,PL,54.22,21.74,55.72,96,100,10.94
37,Senador Jose Porfirio,BR,-2.59,-51.95,78.17,77,0,5.46
38,Mataura,NZ,-46.19,168.86,61.88,46,0,15.19
39,Aioi,JP,34.8,134.47,89.6,62,40,3.36
40,Qaanaaq,GL,77.48,-69.36,28.87,82,0,5.5
41,Rafaela,AR,-31.25,-61.49,54.0,31,100,3.0
42,Cabo San Lucas,MX,22.89,-109.91,86.0,83,40,11.41
43,Nikolskoye,RU,59.7,30.79,57.0,93,100,2.24
44,Itoman,JP,26.12,127.67,84.2,79,75,21.92
45,Mount Isa,AU,-20.73,139.5,82.4,23,0,12.75
46,Dombarovskiy,RU,50.76,59.54,66.15,47,0,2.26
47,Shingu,JP,33.73,135.98,87.8,70,20,5.82
48,Van Wert,US,40.87,-84.58,69.01,72,1,4.7
49,Makakilo City,US,21.35,-158.09,89.6,43,75,11.41
50,Byron Bay,AU,-28.65,153.62,73.99,56,0,9.17
51,Luganville,VU,-15.53,167.17,78.8,83,75,9.17
52,Dikson,RU,73.51,80.55,41.94,97,100,13.65
53,Warrnambool,AU,-38.38,142.48,51.01,86,96,1.01
54,Butaritari,KI,3.07,172.79,83.37,71,12,11.05
55,Longyearbyen,SJ,78.22,15.64,37.4,89,75,4.7
56,Yekaterinoslavka,RU,50.37,129.11,51.73,94,100,16.44
57,Tiksi,RU,71.69,128.87,43.95,79,1,9.86
58,San Julian,MX,21.02,-102.17,60.39,93,100,8.88
59,Oarai,JP,36.32,140.6,89.01,78,75,10.29
60,Albany,US,42.6,-73.97,60.01,97,0,6.53
61,Olafsvik,IS,64.89,-23.71,52.41,91,100,29.04
62,Busselton,AU,-33.65,115.33,53.01,83,0,7.05
63,Pevek,RU,69.7,170.31,40.32,78,0,7.9
64,Taksimo,RU,56.34,114.88,61.74,63,39,0.89
65,Mahebourg,MU,-20.41,57.7,71.6,78,75,18.34
66,Geraldton,AU,-28.77,114.6,53.6,87,0,6.93
67,Pernem,IN,15.72,73.8,78.8,100,75,3.36
68,Katangli,RU,51.71,143.23,59.45,67,79,9.51
69,Atbasar,KZ,51.8,68.33,64.24,53,0,4.9
70,Ahipara,NZ,-35.17,173.17,60.48,67,17,6.4
71,Saint-Pierre,RE,-21.34,55.48,66.2,68,20,3.36
72,Madang,PG,-5.22,145.8,89.08,53,99,1.07
73,Hilo,US,19.73,-155.09,84.2,58,90,10.29
74,Urumqi,CN,43.8,87.6,66.2,45,0,4.47
